size; percentage sorted; time 
0;100;71
0;1000;906
0;10000;6482
0;100000;50091
0;1000000;484616
25;100;14
25;1000;211
25;10000;2851
25;100000;36544
25;1000000;489902
50;100;14
50;1000;207
50;10000;2764
50;100000;37562
50;1000000;448971
75;100;14
75;1000;201
75;10000;2619
75;100000;32575
75;1000000;400864
95;100;14
95;1000;198
95;10000;2569
95;100000;31571
95;1000000;379596
99;100;14
99;1000;197
99;10000;2518
99;100000;30947
99;1000000;363077
