size; density; time 
10;0.25;32
50;0.25;805
100;0.25;4139
500;0.25;414715
10;0.5;10
50;0.5;880
100;0.5;6801
500;0.5;806735
10;0.75;13
50;0.75;1263
100;0.75;9853
500;0.75;1202076
10;1;15
50;1;1643
100;1;12974
500;1;1606449
