size; density; time 
10;0.25;20
50;0.25;446
100;0.25;486
500;0.25;11097
10;0.5;9
50;0.5;203
100;0.5;723
500;0.5;17301
10;0.75;11
50;0.75;198
100;0.75;774
500;0.75;16083
10;1;8
50;1;193
100;1;696
500;1;14087
