size; density; time 
10;0.25;39
50;0.25;7140
100;0.25;12165
500;0.25;1451822
10;0.5;11
50;0.5;1931
100;0.5;16792
500;0.5;2115671
10;0.75;13
50;0.75;1878
100;0.75;15184
500;0.75;1923930
10;1;13
50;1;1682
100;1;13695
500;1;1699645
